country_code,country_name,From_0-2_To_0-2,From_0-2_To_3-4,From_0-2_To_5-8,From_3-4_To_0-2,From_3-4_To_3-4,From_3-4_To_5-8,From_5-8_To_0-2,From_5-8_To_3-4,From_5-8_To_5-8,From_5-6_To_0-2,From_5-6_To_3-4,From_5-6_To_5-8
AL,Albania,85.7,60.7,37.1,14.0,36.7,42.9,0.4,2.6,19.9,0.8,4.1,19.6
AT,Austria,64.8,29.2,11.5,31.9,61.6,54.5,3.3,9.2,34.0,7.0,17.6,48.2
BE,Belgium,76.5,44.5,18.3,17.7,40.2,36.9,5.8,15.4,44.8,6.2,14.8,45.7
BG,Bulgaria,86.9,22.0,3.9,12.5,69.6,58.1,0.6,8.4,37.9,0.5,9.5,39.6
CH,Switzerland,71.2,22.1,10.7,22.0,54.3,35.7,6.8,23.6,53.7,8.7,24.5,50.7
CY,Cyprus,85.2,57.1,21.8,11.9,33.1,44.1,3.0,9.8,34.1,2.8,7.7,32.0
CZ,Czechia,81.3,50.4,16.4,16.5,42.7,50.0,2.2,6.8,33.6,2.5,8.0,37.1
DE,Germany,37.6,12.6,7.4,44.5,60.3,40.2,17.9,27.1,52.4,16.3,31.0,57.4
DK,Denmark,39.0,27.9,13.7,26.9,32.1,32.7,34.1,40.0,53.7,27.4,30.3,55.5
EE,Estonia,25.7,11.8,5.0,54.3,49.3,35.4,19.9,38.9,59.6,21.5,38.6,60.4
EL,Greece,83.5,59.3,34.5,12.4,31.5,36.6,4.2,9.2,28.9,1.6,7.4,29.8
ES,Spain,89.0,67.4,49.8,7.0,18.9,19.4,3.9,13.8,30.8,2.9,11.4,29.4
FI,Finland,46.8,31.0,15.8,37.1,47.7,42.4,16.1,21.3,41.8,15.1,26.5,42.6
FR,France,72.2,46.8,23.4,21.6,41.5,33.9,6.2,11.7,42.7,6.7,10.2,36.7
HR,Croatia,80.2,38.4,11.7,18.2,53.5,55.2,1.6,8.1,33.1,2.2,7.6,34.5
HU,Hungary,75.7,27.7,7.0,22.5,62.9,49.0,1.8,9.4,44.0,1.1,8.1,39.2
IE,Ireland,62.2,35.4,18.0,34.5,51.1,44.7,3.3,13.4,37.3,6.2,12.7,34.1
IS,Iceland,46.0,30.4,16.9,40.1,48.1,43.3,14.0,21.6,39.8,16.4,24.4,41.3
IT,Italy,89.7,64.2,31.0,9.4,30.7,42.9,0.8,5.0,26.0,1.2,6.0,26.8
LT,Lithuania,45.3,27.6,5.5,47.2,56.9,41.4,7.5,15.5,53.1,8.7,12.0,49.1
LU,Luxembourg,81.2,49.8,18.0,13.8,33.4,29.1,5.0,16.8,53.0,4.3,10.3,51.7
LV,Latvia,40.3,18.3,5.7,49.4,63.6,49.3,10.3,18.1,44.9,7.5,19.5,44.0
ME,Montenegro,79.5,34.8,11.6,19.9,56.0,54.1,0.5,9.2,34.2,0.6,9.4,34.6
MK,North Macedonia,97.8,97.4,98.2,0.8,1.6,1.0,1.4,1.0,0.8,0.7,6.2,33.6
MT,Malta,65.1,44.8,27.1,29.6,43.2,41.9,5.3,12.0,31.0,4.6,15.7,29.5
NL,Netherlands,61.1,47.2,22.9,27.4,31.5,22.9,11.5,21.3,54.2,7.6,18.3,46.8
NO,Norway,30.1,20.3,11.3,40.5,43.8,27.0,29.4,35.9,61.7,38.4,30.5,59.7
PL,Poland,56.8,24.8,5.8,41.3,71.2,66.4,1.9,4.0,27.8,1.2,4.8,28.6
PT,Portugal,90.7,64.6,37.6,7.9,28.1,32.3,1.4,7.3,30.2,1.2,6.3,25.0
RO,Romania,66.5,25.9,4.0,33.4,72.6,74.3,0.2,1.5,21.7,0.4,1.5,24.5
RS,Serbia,75.8,26.4,4.2,23.3,66.6,62.5,0.9,7.0,33.2,1.7,9.0,42.1
SE,Sweden,41.1,20.4,9.1,40.4,50.2,33.2,18.5,29.4,57.7,20.9,34.3,61.2
SI,Slovenia,61.9,26.9,10.2,32.3,57.7,51.1,5.9,15.4,38.7,4.4,11.8,37.9
SK,Slovakia,88.7,57.6,16.5,10.9,36.9,52.8,0.4,5.5,30.8,0.6,6.4,31.7
TR,Türkiye,97.0,82.4,59.2,2.5,13.0,22.5,0.5,4.6,18.3,,,
