country_code,country_name,ppp_value
AL,Albanie,51.1
AT,Autriche,0.952
BA,Bosnie-Herzégovine,0.867
BE,Belgique,0.965
BG,Bulgarie,0.881
CH,Suisse,1.44
CY,Chypre,0.767
CZ,Tchéquie,16.3
DE,Allemagne,0.88
DK,Danemark,8.67
EE,Estonie,0.783
EL,Grèce,0.669
ES,Espagne,0.735
FI,Finlande,1.03
FR,France,0.88
HR,Croatie,0.574
HU,Hongrie,210.0
IE,Irlande,1.14
IS,Islande,202.0
IT,Italie,0.794
LT,Lituanie,0.628
LU,Luxembourg,1.22
LV,Lettonie,0.623
ME,Monténégro,0.458
MK,Macédoine du Nord,24.2
MT,Malte,0.744
NL,Pays-Bas,0.977
NO,Norvège,12.4
PL,Pologne,2.39
PT,Portugal,0.683
RO,Roumanie,2.18
RS,Serbie,56.1
SE,Suède,11.3
SI,Slovénie,0.725
SK,République slovaque,0.648
TR,Türkiye,8.02
UK,Royaume-Uni,0.863
