pays,code_pays,score_maths_pisa,score_lecture_pisa,variance_maths_pisa
Allemagne,DE,474.83,480.0,18.7
Autriche,AT,487.27,480.0,19.38
Belgique,BE,489.49,479.0,21.83
Bulgarie,BG,417.3,,17.24
Croatie,HR,463.11,,12.98
Danemark,DK,489.27,489.0,12.19
Espagne,ES,473.14,474.0,14.2
Estonie,EE,509.95,511.0,13.45
Finlande,FI,484.14,490.0,12.44
France,FR,473.94,474.0,21.48
Grèce,EL,430.15,,11.81
Hongrie,HU,472.78,473.0,25.12
Irlande,IE,491.65,516.0,12.96
Islande,IS,458.9,436.0,9.26
Italie,IT,471.26,482.0,13.48
Lettonie,LV,483.16,475.0,13.25
Lituanie,LT,475.15,472.0,16.53
Norvège,NO,468.45,477.0,9.6
Pays-Bas,NL,492.68,459.0,15.13
Pologne,PL,488.96,489.0,16.25
Portugal,PT,471.91,477.0,18.24
Roumanie,RO,427.76,,25.84
Royaume-Uni,UK,488.98,494.0,10.95
République slovaque,SK,463.99,447.0,25.72
Slovénie,SI,484.53,469.0,15.74
Suisse,CH,507.99,,20.82
Suède,SE,481.77,487.0,14.97
Tchéquie,CZ,487.0,489.0,22.04
Türkiye,TR,453.15,456.0,12.59
