STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,trans1g,Transitions from previous generation,isced11,International Standard Classification of Education (ISCED 2011),sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,AL,Albania,2019,,90.2,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,AL,Albania,2023,,86.0,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,AT,Austria,2019,,58.9,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,AT,Austria,2023,,69.6,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,BE,Belgium,2019,,79.3,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,BE,Belgium,2023,,79.2,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,BG,Bulgaria,2019,,88.9,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,BG,Bulgaria,2023,,88.9,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,CH,Switzerland,2019,,63.6,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,CH,Switzerland,2023,,70.2,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,CY,Cyprus,2019,,87.2,,,,,
