STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,FREQ,Fréquence d'observation,MEASURE,Mesure,ANALYTICAL_CATEGORIES,Analytique Catégories,UNIT_MEASURE,Unité de mesure,BASE_REF_AREA,Zone de référence de base,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,PRT,Portugal,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.683,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,DNK,Danemark,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,8.67,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,CZE,Tchéquie,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,16.3,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,CRI,Costa Rica,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,430,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,COL,Colombie,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,1706,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,CHL,Chili,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,536,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,CAN,Canada,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,1.47,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,BEL,Belgique,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.965,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,AUT,Autriche,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.952,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,AUS,Australie,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,1.79,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,POL,Pologne,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,2.39,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,NOR,Norvège,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,12.4,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,NZL,Nouvelle-Zélande,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,1.71,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,NLD,Pays-Bas,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.977,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,MEX,Mexique,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,11.7,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,LUX,Luxembourg,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,1.22,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,LTU,Lituanie,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.628,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,LVA,Lettonie,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,0.623,,,,0,Units
DATAFLOW,OECD.SDD.TPS:DSD_PPP@DF_PPP(1.0),"PPA résultats détaillés, depuis 2020",I,KOR,Corée,A,Annuelle,PPP,Parités de pouvoir d'achat,A01,Consommation individuelle effective,XDC_USD,Monnaie nationale par dollar des É-U,OECD,OCDE,2023,,1087,,,,0,Units
