STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,SECTOR,Secteur institutionnel,EDITION,Édition,SCALE,Échelle,CATEGORY,Catégorie,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,PRICE_BASE,Type de prix,BASE_PER,Période de base
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,AUS,Australie,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,498,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,AUS,Australie,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,14.55,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,AUS,Australie,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,487.08,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,AUT,Autriche,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,480,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,AUT,Autriche,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,19.38,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,AUT,Autriche,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,487.27,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,BEL,Belgique,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,479,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,BEL,Belgique,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,489.49,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,BEL,Belgique,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,21.83,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,CAN,Canada,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,10.21,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,CAN,Canada,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,507,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,CAN,Canada,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,496.95,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,CHL,Chili,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,411.7,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,CHL,Chili,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,12.47,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,CHL,Chili,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,448,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,COL,Colombie,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,382.7,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,COL,Colombie,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,16.16,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,CRI,Costa Rica,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,384.58,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,CZE,Tchéquie,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,22.04,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,CZE,Tchéquie,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,489,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,CZE,Tchéquie,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,487,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,DNK,Danemark,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,489.27,,A,Normal value,0,Units,_Z,N'est pas applicable,,
