"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type_group","breakdown_topic","breakdown","school_count","pupil_count","attainment8_sum","attainment8_average","engmath_entering_total","engmath_entering_percent","engmath_95_total","engmath_95_percent","engmath_94_total","engmath_94_percent","ebacc_entering_total","ebacc_entering_percent","ebacc_95_total","ebacc_95_percent","ebacc_94_total","ebacc_94_percent","ebacc_aps_sum","ebacc_aps_average","progress8_pupil_count","progress8_sum","progress8_average","progress8_lower_95_ci","progress8_upper_95_ci"
"202425","Academic year","National","E92000001","England","Provisional","All state-funded","Total","Total",4104,625673,28749291.43,45.9,600061,95.9,282570,45.2,403520,64.5,253431,40.5,116324,18.6,160553,25.7,2551096.91,4.08,"z","z","z","z","z"
"202425","Academic year","National","E92000001","England","Provisional","All state-funded","Sex","Boys",3892,320708,14100901.42,44,304941,95.1,140045,43.7,200685,62.6,117733,36.7,50198,15.7,70239,21.9,1257014.87,3.92,"z","z","z","z","z"
"202425","Academic year","National","E92000001","England","Provisional","All state-funded","Sex","Girls",3853,304965,14648390.01,48,295120,96.8,142525,46.7,202835,66.5,135698,44.5,66126,21.7,90314,29.6,1294082.04,4.24,"z","z","z","z","z"
"202425","Academic year","National","E92000001","England","Provisional","All state-funded","Ethnicity","African",2989,31605,1511323.03,47.8,30685,97.1,14787,46.8,21254,67.2,14458,45.7,5766,18.2,8451,26.7,134751.38,4.26,"z","z","z","z","z"
"202425","Academic year","National","E92000001","England","Provisional","All state-funded","Ethnicity","All Asian / Asian British",3397,80859,4262199.32,52.7,78823,97.5,45981,56.9,59668,73.8,43124,53.3,22127,27.4,28687,35.5,387338.22,4.79,"z","z","z","z","z"
"202425","Academic year","National","E92000001","England","Provisional","All state-funded","Ethnicity","All black / African / Caribbean / black British",3218,43472,2001787.78,46,42099,96.8,18695,43,27719,63.8,19278,44.3,7197,16.6,10751,24.7,177665.52,4.09,"z","z","z","z","z"
"202425","Academic year","National","E92000001","England","Provisional","All state-funded","Ethnicity","All mixed / multiple ethnic groups",3711,40423,1899318.54,47,38787,96,18714,46.3,26235,64.9,17821,44.1,8557,21.2,11504,28.5,169899.81,4.2,"z","z","z","z","z"
"202425","Academic year","National","E92000001","England","Provisional","All state-funded","Ethnicity","All other ethnic groups",2664,15115,692147,45.8,14394,95.2,6715,44.4,9322,61.7,7774,51.4,3308,21.9,4573,30.3,63870.2,4.23,"z","z","z","z","z"
"202425","Academic year","National","E92000001","England","Provisional","All state-funded","Ethnicity","All white",4078,432262,19341872.91,44.7,413564,95.7,187304,43.3,273033,63.2,160659,37.2,73051,16.9,102151,23.6,1703342.82,3.94,"z","z","z","z","z"
"202425","Academic year","National","E92000001","England","Provisional","All state-funded","Ethnicity","Any other Asian background",2615,13723,725702.89,52.9,13256,96.6,8109,59.1,10247,74.7,7077,51.6,3900,28.4,4942,36,66193.13,4.82,"z","z","z","z","z"
